id,player,localFile,wikipediaPageUrl,commonsFileName,commonsFilePageUrl,imageDownloadUrl,author,credit,licenseShortName,licenseUrl,modified,status,note
messi,Lionel Messi,assets/players/messi.png,https://en.wikipedia.org/wiki/Lionel_Messi,Leo_Messi_Argentina_v_Egypt_7_July_2026-1.jpg,https://commons.wikimedia.org/wiki/File:Leo_Messi_Argentina_v_Egypt_7_July_2026-1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Leo_Messi_Argentina_v_Egypt_7_July_2026-1.jpg/960px-Leo_Messi_Argentina_v_Egypt_7_July_2026-1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Bryan Berlin,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Yes,ok,
ronaldo,Cristiano Ronaldo,assets/players/ronaldo.png,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Cristiano_Ronaldo_Croatia_v_Portugal_2_July_2026-075_(cropped).jpg,https://commons.wikimedia.org/wiki/File:Cristiano_Ronaldo_Croatia_v_Portugal_2_July_2026-075_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Cristiano_Ronaldo_Croatia_v_Portugal_2_July_2026-075_%28cropped%29.jpg/960px-Cristiano_Ronaldo_Croatia_v_Portugal_2_July_2026-075_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Bryan Berlin,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Yes,ok,
mbappe,Kylian Mbappe,assets/players/mbappe.png,https://en.wikipedia.org/wiki/Kylian_Mbapp%C3%A9,Kylian_Mbappe_France_v_Senegal_16_June_2026-391_(cropped).jpg,https://commons.wikimedia.org/wiki/File:Kylian_Mbappe_France_v_Senegal_16_June_2026-391_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Kylian_Mbappe_France_v_Senegal_16_June_2026-391_%28cropped%29.jpg/960px-Kylian_Mbappe_France_v_Senegal_16_June_2026-391_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Bryan Berlin,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Yes,ok,
haaland,Erling Haaland,assets/players/haaland.png,https://en.wikipedia.org/wiki/Erling_Haaland,Erling_Haaland_Morocco_v_Norway_7_June_2026-51.jpg,https://commons.wikimedia.org/wiki/File:Erling_Haaland_Morocco_v_Norway_7_June_2026-51.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Erling_Haaland_Morocco_v_Norway_7_June_2026-51.jpg/960px-Erling_Haaland_Morocco_v_Norway_7_June_2026-51.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Bryan Berlin,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Yes,ok,
neymar,Neymar,assets/players/neymar.png,https://en.wikipedia.org/wiki/Neymar,2025-02-12_-_Jogador_Neymar_joga_seu_primeiro_clássico_após_retorno_ao_futebol_brasileiro._Lance_de_jogo_entre_Corinthians_e_Santos_pelo_Campeonato_Paulista_(cropped).jpg,https://commons.wikimedia.org/wiki/File:2025-02-12_-_Jogador_Neymar_joga_seu_primeiro_cl%C3%A1ssico_ap%C3%B3s_retorno_ao_futebol_brasileiro._Lance_de_jogo_entre_Corinthians_e_Santos_pelo_Campeonato_Paulista_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/2025-02-12_-_Jogador_Neymar_joga_seu_primeiro_cl%C3%A1ssico_ap%C3%B3s_retorno_ao_futebol_brasileiro._Lance_de_jogo_entre_Corinthians_e_Santos_pelo_Campeonato_Paulista_%28cropped%29.jpg/960px-thumbnail.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Foto: Paulo Pinto/Agência Brasil/ Local: São Paulo-SP,"São Paulo (SP), 12/02/2025 - Jogador Neymar joga seu primeiro clássico após retorno ao futebol brasileiro. Lance de jogo entre Corinthians e Santos pelo Campeonato Paulista. Foto: Paulo Pinto/Agência Brasil",CC BY 3.0 br,https://creativecommons.org/licenses/by/3.0/br/deed.en,Yes,ok,
salah,Mohamed Salah,assets/players/salah.png,https://en.wikipedia.org/wiki/Mohamed_Salah,Mohamed_Salah_Argentina_v_Egypt_7_July_2026-163_(cropped).jpg,https://commons.wikimedia.org/wiki/File:Mohamed_Salah_Argentina_v_Egypt_7_July_2026-163_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Mohamed_Salah_Argentina_v_Egypt_7_July_2026-163_%28cropped%29.jpg/960px-Mohamed_Salah_Argentina_v_Egypt_7_July_2026-163_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Bryan Berlin,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Yes,ok,
vinicius,Vinicius Junior,assets/players/vinicius.png,https://en.wikipedia.org/wiki/Vin%C3%ADcius_J%C3%BAnior,Vinícius_Júnior_Brazil_V_Morocco_13_June_2026-207_(cropped).jpg,https://commons.wikimedia.org/wiki/File:Vin%C3%ADcius_J%C3%BAnior_Brazil_V_Morocco_13_June_2026-207_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Vin%C3%ADcius_J%C3%BAnior_Brazil_V_Morocco_13_June_2026-207_%28cropped%29.jpg/960px-Vin%C3%ADcius_J%C3%BAnior_Brazil_V_Morocco_13_June_2026-207_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Bryan Berlin,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Yes,ok,
bellingham,Jude Bellingham,assets/players/bellingham.png,https://en.wikipedia.org/wiki/Jude_Bellingham,Jude_Bellingham_England_v_Panama_27_June_26-160_(cropped).jpg,https://commons.wikimedia.org/wiki/File:Jude_Bellingham_England_v_Panama_27_June_26-160_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Jude_Bellingham_England_v_Panama_27_June_26-160_%28cropped%29.jpg/960px-Jude_Bellingham_England_v_Panama_27_June_26-160_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Bryan Berlin,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Yes,ok,
debruyne,Kevin De Bruyne,assets/players/debruyne.png,https://en.wikipedia.org/wiki/Kevin_De_Bruyne,Kevin_De_Bruyne_USMNT_v_Belgium_Mar_28_2026-64_(cropped).jpg,https://commons.wikimedia.org/wiki/File:Kevin_De_Bruyne_USMNT_v_Belgium_Mar_28_2026-64_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Kevin_De_Bruyne_USMNT_v_Belgium_Mar_28_2026-64_%28cropped%29.jpg/960px-Kevin_De_Bruyne_USMNT_v_Belgium_Mar_28_2026-64_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Bryan Berlin,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Yes,ok,
kane,Harry Kane,assets/players/kane.png,https://en.wikipedia.org/wiki/Harry_Kane,Harry_Kane_England_v_Ghana_23_June_2026-219_(cropped).jpg,https://commons.wikimedia.org/wiki/File:Harry_Kane_England_v_Ghana_23_June_2026-219_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Harry_Kane_England_v_Ghana_23_June_2026-219_%28cropped%29.jpg/960px-Harry_Kane_England_v_Ghana_23_June_2026-219_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Bryan Berlin,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Yes,ok,
